Station,"Date, Time",Depth (m),00985 DO                        (mg/l),"1977S Turbidity, Sensor         (FNU)","01977 Turbidity, Lab            (NTU)",01648 pH                        (None),01815 Sp Cond                   (umho/cm),02849 Water Temp                (deg C),05250 Water Depth               (m)
M2113298P,"20211209, 1619",0.7,13.84,13.42,,7.97,577,4.6,
M2113298P,"20220113, 1640",0,26.04,8.62,14.6,8.62,562,2.8,1.22
M2113298P,"20220113, 1640",0.7,26.39,9.88,,8.62,535,3.1,
M2113298P,"20220324, 1635",0,8.63,31.07,40.2,7.57,486.1,11.8,1.49
M2113298P,"20220324, 1635",1,8.54,27.32,,7.6,486,11.8,
M2113298P,"20220607, 1439",0,10,14.58,25.1,7.93,487.3,25.6,1.96
M2113298P,"20220607, 1439",0.7,8.04,16.28,,7.84,489.8,25.1,
M2113298P,"20220607, 1439",1.6,6.88,25.97,,7.67,491.6,24.1,
M2113298P,"20220622, 1320",0,15.65,13.87,26.4,8.58,475.2,30.9,1.49
M2113298P,"20220622, 1320",1.1,14.32,18.19,,8.48,479.6,30.6,
M2113298P,"20220706, 1448",0,8.67,24.65,25.8,8.23,562,30.3,1.39
M2113298P,"20220706, 1448",0.7,7.98,30.59,,8.18,562,30.2,
M2113298P,"20220706, 1448",1,7.83,31.84,,8.17,564,30.3,
M2113298P,"20220719, 1308",0,7.8,43.86,84.3,8.26,465.6,30,1.25
M2113298P,"20220719, 1308",0.9,3.39,48.26,,7.86,469.7,28.4,
M2113298P,"20220802, 1324",0,6.52,54.63,90.3,8.45,515,30.2,1.13
M2113298P,"20220802, 1324",0.8,5.27,50.52,,8.32,516,29.9,
M2113298P,"20220816, 1314",0,7.54,27.17,50.5,8.23,560,26.5,1.25
M2113298P,"20220816, 1314",1,6.22,44.53,,8.11,574,26.2,
M2113298P,"20220830, 1458",0,13.25,31.22,43.7,8.84,496.5,30.8,1.15
M2113298P,"20220830, 1458",0.8,10.61,27.28,,8.73,502,29.7,
M2113298P,"20220913, 1503",0,15.55,24.51,43.4,8.94,484.7,27.1,1.13
M2113298P,"20220913, 1503",0.7,6.55,47.81,,8.46,494.6,23.2,
M2113298P,"20221219, 1100",0,14.07,8.35,23,8.36,529,1.6,1.34
M2113298P,"20221219, 1100",0.8,13.6,19.77,,8.32,523,1.8,
M2113298P,"20221219, 1100",1,13.49,20.21,,8.31,522,1.8,
M2113298P,"20230215, 1300",0,9.99,25.03,39.9,7.88,485.9,6.5,1.26
M2113298P,"20230215, 1300",0.7,9.87,26.21,,7.87,486.1,6.5,
M2113298P,"20230215, 1300",0.9,9.8,27.14,,7.87,486.2,6.5,
M2113298P,"20230301, 1056",0,10.34,37.92,59.1,8.02,461.9,8.2,1.54
M2113298P,"20230301, 1056",0.7,10.33,45.02,,8.04,464.2,8,
M2113298P,"20230301, 1056",1,10.28,47.35,,8.03,463.1,8,
M2113298P,"20230606, 1343",0,5.85,15.26,27.6,7.85,450.7,29.4,1.37
M2113298P,"20230606, 1343",0.6,3.9,23.35,,7.71,455.5,27.5,
M2113298P,"20230606, 1343",1,1.15,44.41,,7.51,460.1,26,
M2113298P,"20230621, 1400",0,5.32,93.89,177,8.15,475.8,28,1.11
M2113298P,"20230621, 1400",0.8,2.09,80.68,,7.86,476.9,26.5,
M2113298P,"20230705, 1412",0,10.21,45.01,68.9,8.3,470.6,30.3,1.12
M2113298P,"20230705, 1412",0.8,6.46,68.93,,8.01,469.4,29.7,
M2113298P,"20230718, 1037",0,3.96,39.25,66,7.8,536,26.8,1.2
M2113298P,"20230718, 1037",0.6,3.93,39.97,,7.8,537,26.8,
M2113298P,"20230718, 1037",1,2.93,56.69,,7.74,538,26.8,
M2113298P,"20230801, 1506",0,8.29,54.39,92.2,8.27,547,29.2,1.07
M2113298P,"20230801, 1506",0.5,7.34,54.36,,8.18,550,29,
M2113298P,"20230801, 1506",0.8,6.33,59.09,,8.11,552,28.8,
M2113298P,"20230815, 1302",0,7.98,31.27,56.7,8.26,464,26.8,1.12
M2113298P,"20230815, 1302",0.5,7.78,31.62,,8.23,464.6,26.8,
M2113298P,"20230815, 1302",0.7,7.48,32.24,,8.23,464.6,26.7,
M2113298P,"20230829, 1521",0,4.44,19.09,32,7.35,168.4,27.3,1.28
M2113298P,"20230829, 1521",0.6,3.18,33.14,,7.21,170.8,26.2,
M2113298P,"20230829, 1521",0.9,3.09,35.77,,7.19,171.4,26.1,
M2113298P,"20230912, 1225",0,6.8,20.36,34.7,8.16,343.2,24.4,1.21
M2113298P,"20230912, 1225",0.6,6.07,20.6,,8.08,341.4,24,
M2113298P,"20230912, 1225",0.9,5.44,25.67,,8,342.4,23.8,
 , , , , , , , , , 
